match_id,kickoff_time,league_code,home_team,away_team,asian_close_line,fair_asian_line,asian_line_mispricing,asian_edge_pct,value_direction,value_edge_level,market_strength_score,strength_level,trade_score,trade_score_detail,behavior_label,risk_flag,risk_count
478d9e3043f9,2021-08-04 01:00:00,UCL,布拉格斯巴达,摩纳哥,-0.5,-0.8156679716599833,0.3156679716599833,3.156679716599833,下盘价值(盘口过深),中等Edge(3-5%),44,弱,C,"弱价值信号, 需观察",假动作盘口,False,0
d9616aa8249f,2021-08-04 01:00:00,UCL,马尔默,格拉斯哥流浪者,-0.25,0.0,-0.25,2.5,上盘价值(盘口过浅),弱Edge(1-3%),59,中等,C,"弱价值信号, 需观察",诱盘信号,False,0
9cfab3a1c439,2021-08-04 02:00:00,UCL,亨克,顿涅茨克矿工,-0.25,0.4570477611940299,-0.7070477611940299,7.070477611940299,上盘价值(盘口过浅),强Edge(5-8%),64,中等,B,中等价值+信号确认+风控通过,临场资金冲击,False,0
6339d9715067,2021-08-04 02:00:00,UCL,埃因霍温,中日德兰,1.0,2.079907621247113,-1.0799076212471128,10.799076212471128,上盘价值(盘口过浅),超强Edge(≥8%),50,弱,C,"弱价值信号, 需观察",诱盘信号,False,0
60010e7273bc,2021-08-04 02:00:00,UCL,克卢日,年轻人,0.0,-0.17612559241706138,0.17612559241706138,1.7612559241706138,下盘价值(盘口过深),弱Edge(1-3%),42,弱,C,"弱价值信号, 需观察",诱盘信号,False,0
23d9b1486d69,2021-08-04 03:00:00,UCL,贝尔格莱德红星,谢里夫,1.25,2.334344798919256,-1.0843447989192558,10.843447989192558,上盘价值(盘口过浅),超强Edge(≥8%),72,强,A,强价值+强信号+低分歧+风控通过,诱盘信号,False,0
fac91051b3d7,2021-08-04 03:00:00,UCL,奥林匹亚科斯,卢多戈雷茨,0.75,1.6311918270184484,-0.8811918270184484,8.811918270184485,上盘价值(盘口过浅),超强Edge(≥8%),57,中等,B,中等价值+信号确认+风控通过,正常盘口,False,0
0e4bbddc04ef,2021-08-05 01:00:00,UCL,莫斯科斯巴达,本菲卡,-0.25,-0.21304966653589635,-0.036950333464103646,0.36950333464103646,公允定价,无Edge(<1%),48,弱,D,,正常盘口,False,0
af6499c8c3c8,2021-08-05 02:00:00,UCL,费伦茨瓦罗斯,布拉格斯拉维亚,-0.25,-0.046300243605359115,-0.20369975639464089,2.036997563946409,上盘价值(盘口过浅),弱Edge(1-3%),48,弱,C,"弱价值信号, 需观察",正常盘口,False,0
6afa1f7b5fb9,2021-08-05 02:00:00,UCL,萨格勒布迪纳摩,华沙军团,0.75,1.6528634984833166,-0.9028634984833166,9.028634984833166,上盘价值(盘口过浅),超强Edge(≥8%),57,中等,B,中等价值+信号确认+风控通过,正常盘口,False,0
dd3ec52f15c9,2021-08-05 23:45:00,UEL,雅布罗尼克,凯尔特人,-0.5,-0.4793062846048753,-0.020693715395124712,0.20693715395124712,公允定价,无Edge(<1%),57,中等,D,,正常盘口,False,0
21fae6043f65,2021-08-06 00:00:00,UEL,林肯红魔,布拉迪斯拉发,-1.25,-0.8735715545107261,-0.3764284454892739,3.764284454892739,上盘价值(盘口过浅),中等Edge(3-5%),53,中等,B,中等价值+信号确认+风控通过,临场资金冲击,False,0
996173d7ce73,2021-08-06 02:00:00,UEL,加拉塔萨雷,圣约翰斯通,1.5,1.9309411764705886,-0.4309411764705886,4.309411764705886,上盘价值(盘口过浅),中等Edge(3-5%),81,极强,B,中等价值+信号确认+风控通过,临场资金冲击,False,0
e47fbb76db87,2021-08-06 02:00:00,UEL,穆尔斯卡穆拉,扎尔基里斯,0.5,0.7951222606689734,-0.2951222606689734,2.951222606689734,上盘价值(盘口过浅),弱Edge(1-3%),63,中等,C,"弱价值信号, 需观察",诱盘信号,False,0
a0d1e8f2b89f,2021-08-07 03:00:00,FL1,摩纳哥,南特,1.0,1.9962662245381333,-0.9962662245381333,9.962662245381333,上盘价值(盘口过浅),超强Edge(≥8%),72,强,A,强价值+强信号+低分歧+风控通过,诱盘信号,False,0
d7db3c948aa0,2021-08-07 23:00:00,FL1,里昂,布雷斯特,1.5,2.1463687150837987,-0.6463687150837987,6.463687150837987,上盘价值(盘口过浅),强Edge(5-8%),65,中等,A,强价值+强信号+低分歧+风控通过,正常盘口,False,0
5a6cf23a4bd8,2021-08-08 03:00:00,FL1,特鲁瓦,巴黎圣日尔曼,-1.75,-1.744625995655322,-0.005374004344677941,0.053740043446779406,公允定价,无Edge(<1%),62,中等,D,,正常盘口,False,0
69062fc5bdc5,2021-08-08 19:00:00,FL1,雷恩,朗斯,0.5,1.1063390966831332,-0.6063390966831332,6.063390966831332,上盘价值(盘口过浅),强Edge(5-8%),57,中等,B,中等价值+信号确认+风控通过,正常盘口,False,0
