match_id,league_code,home_team,away_team,asian_open_line,asian_close_line,asian_line_change,line_movement_type,hw_movement_type,lw_movement_type,combined_signal,behavior_label
478d9e3043f9,UCL,布拉格斯巴达,摩纳哥,-0.75,-0.5,0.25,升盘,水位稳定,水位稳定,正常波动,假动作盘口
d9616aa8249f,UCL,马尔默,格拉斯哥流浪者,0.0,-0.25,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
9cfab3a1c439,UCL,亨克,顿涅茨克矿工,0.25,-0.25,-0.5,跳降盘,水位稳定,水位稳定,强势跳降盘,临场资金冲击
6339d9715067,UCL,埃因霍温,中日德兰,1.25,1.0,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
60010e7273bc,UCL,克卢日,年轻人,-0.25,0.0,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
23d9b1486d69,UCL,贝尔格莱德红星,谢里夫,1.5,1.25,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
fac91051b3d7,UCL,奥林匹亚科斯,卢多戈雷茨,0.75,0.75,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
0e4bbddc04ef,UCL,莫斯科斯巴达,本菲卡,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
af6499c8c3c8,UCL,费伦茨瓦罗斯,布拉格斯拉维亚,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
6afa1f7b5fb9,UCL,萨格勒布迪纳摩,华沙军团,0.75,0.75,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
dd3ec52f15c9,UEL,雅布罗尼克,凯尔特人,-0.5,-0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
21fae6043f65,UEL,林肯红魔,布拉迪斯拉发,-0.75,-1.25,-0.5,跳降盘,水位稳定,水位稳定,强势跳降盘,临场资金冲击
996173d7ce73,UEL,加拉塔萨雷,圣约翰斯通,1.0,1.5,0.5,跳升盘,水位稳定,水位稳定,强势跳升盘,临场资金冲击
e47fbb76db87,UEL,穆尔斯卡穆拉,扎尔基里斯,0.25,0.5,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
a0d1e8f2b89f,FL1,摩纳哥,南特,1.25,1.0,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
d7db3c948aa0,FL1,里昂,布雷斯特,1.5,1.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
5a6cf23a4bd8,FL1,特鲁瓦,巴黎圣日尔曼,-1.5,-1.75,-0.25,降盘,水位稳定,水位稳定,正常波动,正常盘口
69062fc5bdc5,FL1,雷恩,朗斯,0.5,0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
39b795efb90a,FL1,波尔多,克莱蒙特,0.0,0.5,0.5,跳升盘,水位稳定,水位稳定,强势跳升盘,临场资金冲击
23586d537b8e,FL1,尼斯,兰斯,0.5,0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
ae0cdc234d4a,FL1,圣埃蒂安,洛里昂,0.25,0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
8252fd5cec7c,FL1,斯特拉斯堡,昂热,0.5,0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
daecb4d93269,FL1,梅斯,里尔,-0.5,-0.75,-0.25,降盘,水位稳定,水位稳定,正常波动,正常盘口
bad4af2fd28c,FL1,蒙彼利埃,马赛,-0.5,-0.25,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
a4665baacfdc,UCL,布拉格斯拉维亚,费伦茨瓦罗斯,1.25,1.0,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
61d22d31c91f,UCL,谢里夫,贝尔格莱德红星,-0.25,-0.5,-0.25,降盘,水位稳定,水位稳定,正常波动,假动作盘口
5a0fc25ae033,UCL,顿涅茨克矿工,亨克,0.5,0.75,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
e182833e9198,UCL,摩纳哥,布拉格斯巴达,1.5,1.0,-0.5,跳降盘,水位稳定,水位稳定,强势跳降盘,临场资金冲击
980aafe6e8ab,UCL,中日德兰,埃因霍温,-0.5,-0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
1a81d6c7b216,UCL,卢多戈雷茨,奥林匹亚科斯,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
b11d38c2b603,UCL,年轻人,克卢日,1.0,1.0,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
340d39b2759a,UEL,布拉迪斯拉发,林肯红魔,1.75,1.5,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
6dd8ce7d0bbb,UCL,华沙军团,萨格勒布迪纳摩,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
3f99990a07f5,UCL,格拉斯哥流浪者,马尔默,1.0,0.75,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
b3f9d648514e,UCL,本菲卡,莫斯科斯巴达,1.25,1.0,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
8317e6ce3cfe,UEL,扎尔基里斯,穆尔斯卡穆拉,0.25,0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
21b098fbc8ff,UEL,圣约翰斯通,加拉塔萨雷,-0.5,-0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
28fa342583c5,UEL,凯尔特人,雅布罗尼克,1.75,1.25,-0.5,跳降盘,水位稳定,水位稳定,强势跳降盘,临场资金冲击
28161d3da124,BUN,门兴格拉德巴赫,拜仁慕尼黑,-0.75,-1.25,-0.5,跳降盘,水位稳定,水位稳定,强势跳降盘,临场资金冲击
424d7e121bb3,EPL,布伦特福德,阿森纳,-0.25,-0.5,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
8701650e3cfe,LLG,巴伦西亚,赫塔菲,0.25,0.0,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
809e265942c9,FL1,洛里昂,摩纳哥,-0.5,-0.75,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
fcdc0e5f0b2e,EPL,曼彻斯特联,利兹联,0.75,1.0,0.25,升盘,水位稳定,水位稳定,正常波动,假动作盘口
ee4f01066c3c,BUN,沃尔夫斯堡,波鸿,1.25,1.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
4f5e93fc0f56,BUN,柏林联合,勒沃库森,0.0,-0.25,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
e4641f324b55,BUN,斯图加特,菲尔特,0.5,0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
8c5bb00e31d5,BUN,奥格斯堡,霍芬海姆,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
105e5a4a9c2c,BUN,比勒费尔德,弗赖堡,-0.25,0.0,0.25,升盘,水位稳定,水位稳定,正常波动,正常盘口
99d497c84ed3,EPL,沃特福德,阿斯顿维拉,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
ce8b0cd76a1c,EPL,莱斯特城,狼队,0.75,0.75,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
d76caab33ccd,EPL,埃弗顿,南安普顿,0.5,0.5,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
fdb03b563283,EPL,切尔西,水晶宫,1.25,1.5,0.25,升盘,水位稳定,水位稳定,正常波动,正常盘口
95628c940862,EPL,伯恩利,布莱顿,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
051dbdf63730,FL1,里尔,尼斯,0.5,1.0,0.5,跳升盘,水位稳定,水位稳定,强势跳升盘,临场资金冲击
ac87c35e54ec,EPL,诺维奇,利物浦,-1.25,-1.5,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
94a82d29363a,BUN,多特蒙德,法兰克福,1.25,1.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
5c34ba71e0b5,LLG,马洛卡,皇家贝蒂斯,0.0,-0.25,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
324af682024f,LLG,加的斯,莱万特,-0.25,0.0,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
238fe7998c8a,FL1,巴黎圣日尔曼,斯特拉斯堡,1.75,1.5,-0.25,降盘,水位稳定,水位稳定,正常波动,诱盘信号
9dd6c7ee4015,LLG,阿拉维斯,皇家马德里,-1.0,-1.25,-0.25,降盘,水位稳定,水位稳定,正常波动,正常盘口
1093aa1509fd,LLG,奥萨苏纳,西班牙人,0.0,0.25,0.25,升盘,水位稳定,水位稳定,正常波动,诱盘信号
987326208c44,FL1,昂热,里昂,-0.75,-0.75,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
3a83f109c63c,EPL,纽卡斯尔联,西汉姆联,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
f4262868f3ca,FL1,布雷斯特,雷恩,-0.25,-0.25,0.0,盘口稳定,水位稳定,水位稳定,正常波动,正常盘口
