match_id,league_name,kickoff_time,home_team,away_team,market,asian_line,ou_line,water_hk,decimal_odds,bet_direction,goal_diff,total_goals,y_pred,y_true,result,bet_type,bet_detail,profit_original,profit_correct,profit_discrepancy
617291c369c1,西甲,2026-02-11 04:00:00,马略卡,奥萨苏纳,over_under,,2.0,0.88,1.88,小球,0.0,2.0,0,0,win,PUSH,"线2.0, 总球2.0, 走水",88.0,0.0,-88.0
a3b00ff95444,欧冠,2024-11-27 04:00:00,拜仁慕尼黑,巴黎圣日耳曼,over_under,,3.25,0.91,1.91,大球,1.0,1.0,1,0,lose,FULL_LOSE,"线3.25, 总球1.0",-100.0,-100.0,0.0
5188218e4ecf,西甲,2023-09-17 20:00:00,赫塔费,奥萨苏纳,over_under,,2.0,0.81,1.81,小球,1.0,5.0,0,1,lose,FULL_LOSE,"线2.0, 总球5.0",-100.0,-100.0,0.0
8c6432e10be1,英超,2024-12-26 20:30:00,曼彻斯特城,埃弗顿,over_under,,3.0,0.95,1.95,大球,0.0,2.0,1,0,lose,FULL_LOSE,"线3.0, 总球2.0",-100.0,-100.0,0.0
d56598edcde0,法甲,2022-10-09 21:00:00,昂热,斯特拉斯堡,over_under,,2.5,0.91,1.91,小球,-1.0,5.0,0,1,lose,FULL_LOSE,"线2.5, 总球5.0",-100.0,-100.0,0.0
b5b6d26d543b,德甲,2024-04-02 21:30:00,科隆,门兴格拉德巴赫,over_under,,2.75,0.94,1.94,小球,0.0,0.0,0,0,win,FULL_WIN,"线2.75, 总球0.0",94.0,94.0,0.0
d63136e316a8,意甲,2023-03-13 01:00:00,桑普多利亚,尤文图斯,over_under,,2.75,1.01,2.01,大球,-2.0,4.0,1,1,win,FULL_WIN,"线2.75, 总球4.0",101.0,100.99999999999997,-2.842170943040401e-14
2673a8e86e03,欧联,2023-10-27 03:00:00,圣吉罗斯联合,LASK林茨,asian,0.75,,0.89,1.89,主赢盘,1.0,3.0,2,2,win,FULL_WIN,"盘口+0.75, 净胜1.0, eff=+1.75",89.0,88.99999999999999,-1.4210854715202004e-14
58171e5edf88,西甲,2025-04-13 20:00:00,马德里竞技,赫罗纳,over_under,,3.0,1.07,2.07,大球,2.0,4.0,1,1,win,FULL_WIN,"线3.0, 总球4.0",107.0,107.00000000000003,2.842170943040401e-14
01e9ffa5f66a,英超,2024-12-16 03:00:00,南安普顿,托特纳姆热刺,over_under,,3.25,0.95,1.95,大球,-5.0,5.0,1,1,win,FULL_WIN,"线3.25, 总球5.0",95.0,95.0,0.0
16113179627a,英超,2022-10-09 00:30:00,布莱顿,托特纳姆热刺,over_under,,2.5,0.9,1.9,小球,-1.0,1.0,0,0,win,FULL_WIN,"线2.5, 总球1.0",90.0,89.99999999999999,-1.4210854715202004e-14
53cb888edc83,德甲,2025-04-20 21:30:00,海登海姆,RB莱比锡,over_under,,3.25,0.91,1.91,大球,-1.0,3.0,1,1,win,HALF_LOSE,"线3.25, 总球3.0",91.0,-50.0,-141.0
53f6e076a346,欧冠,2022-10-27 03:00:00,托特纳姆热刺,葡萄牙体育,over_under,,3.0,1.06,2.06,大球,0.0,2.0,1,0,lose,FULL_LOSE,"线3.0, 总球2.0",-100.0,-100.0,0.0
e1da337cd15d,意甲,2025-05-19 21:00:00,乌迪内斯,恩波利,over_under,,2.25,0.95,1.95,小球,0.0,2.0,0,0,win,HALF_WIN,"线2.25, 总球2.0",95.0,47.5,-47.5
b54f182e1934,法甲,2024-02-19 22:00:00,布雷斯特,摩纳哥,asian,-0.5,,0.85,1.85,客赢盘,-1.0,3.0,0,0,win,FULL_WIN,"盘口-0.50, 净胜-1.0",85.0,85.00000000000001,1.4210854715202004e-14
0a5ff72d9c10,法甲,2024-03-19 00:00:00,图卢兹,里尔,over_under,,2.75,0.89,1.89,大球,-2.0,2.0,1,0,lose,HALF_WIN,"线2.75, 总球2.0",-100.0,44.49999999999999,144.5
2ffdb4d0f6c3,德甲,2023-12-21 03:30:00,法兰克福,门兴格拉德巴赫,over_under,,3.0,1.0,2.0,大球,1.0,3.0,1,1,win,PUSH,"线3.0, 总球3.0, 走水",100.0,0.0,-100.0
a2c0e8a1301c,法甲,2023-11-26 20:00:00,尼斯,图卢兹,over_under,,2.5,1.02,2.02,小球,1.0,1.0,0,0,win,FULL_WIN,"线2.5, 总球1.0",102.0,102.0,0.0
53f6e076a346,欧冠,2022-10-27 03:00:00,托特纳姆热刺,葡萄牙体育,asian,1.25,,1.02,2.02,主赢盘,0.0,2.0,2,2,win,FULL_WIN,"盘口+1.25, 净胜0.0, eff=+1.25",102.0,102.0,0.0
46871dd1011d,西甲,2026-01-20 01:30:00,奥萨苏纳,巴列卡诺,asian,0.25,,0.89,1.89,主赢盘,0.0,2.0,2,2,win,HALF_WIN,"盘口+0.25, 净胜0.0, eff=+0.25",89.0,44.49999999999999,-44.50000000000001
a721a80e6f9e,英超,2023-10-29 22:00:00,利物浦,诺丁汉森林,asian,1.75,,0.88,1.88,主赢盘,3.0,3.0,2,2,win,FULL_WIN,"盘口+1.75, 净胜3.0, eff=+4.75",88.0,87.99999999999999,-1.4210854715202004e-14
dbeabbc6a192,意甲,2024-08-18 00:30:00,帕尔马,佛罗伦萨,asian,-0.25,,0.98,1.98,客赢盘,0.0,2.0,0,0,win,HALF_WIN,"盘口-0.25, 净胜0.0, eff=-0.25",98.0,49.0,-49.0
be911e52e1d8,欧冠,2024-10-03 03:00:00,阿斯顿维拉,拜仁慕尼黑,asian,-0.5,,0.98,1.98,客赢盘,1.0,1.0,0,2,lose,FULL_LOSE,"盘口-0.50, 净胜1.0",-100.0,-100.0,0.0
7cc3d16088cd,法甲,2023-04-11 03:00:00,马赛,蒙彼利埃,asian,1.0,,0.85,1.85,主赢盘,2.0,2.0,2,2,win,FULL_WIN,"盘口+1.00, 净胜2.0",85.0,85.00000000000001,1.4210854715202004e-14
9bca3e11e831,英超,2023-03-05 23:00:00,狼队,水晶宫,asian,0.5,,1.25,2.25,主赢盘,-2.0,2.0,2,0,lose,FULL_LOSE,"盘口+0.50, 净胜-2.0",-100.0,-100.0,0.0
8f4dc24d2882,意甲,2023-12-04 03:45:00,那不勒斯,国际米兰,asian,0.0,,0.83,1.83,客赢盘,-3.0,3.0,0,0,win,FULL_WIN,"盘口+0.00, 净胜-3.0",83.0,83.0,0.0
6e6af81c6e66,德甲,2022-10-23 21:30:00,波鸿,柏林联合,asian,-0.5,,0.99,1.99,客赢盘,1.0,3.0,0,2,lose,FULL_LOSE,"盘口-0.50, 净胜1.0",-100.0,-100.0,0.0
2f8feaf503bc,英超,2024-04-06 03:00:00,西汉姆联,纽卡斯尔联,asian,-0.25,,1.0,2.0,客赢盘,-4.0,6.0,0,0,win,FULL_WIN,"盘口-0.25, 净胜-4.0, eff=-4.25",100.0,100.0,0.0
0d7e98040168,德甲,2025-03-16 22:30:00,海登海姆,门兴格拉德巴赫,over_under,,2.75,0.87,1.87,大球,0.0,2.0,1,0,lose,HALF_WIN,"线2.75, 总球2.0",-100.0,43.50000000000001,143.5
d1783599e7b4,意甲,2025-01-14 22:00:00,卡利亚里,博洛尼亚,asian,-0.25,,0.95,1.95,客赢盘,1.0,3.0,0,2,lose,FULL_LOSE,"盘口-0.25, 净胜1.0, eff=+0.75",-100.0,-100.0,0.0
473b929feaff,西甲,2024-09-16 00:30:00,拉斯帕尔马斯,毕尔巴鄂竞技,asian,-0.25,,1.09,2.09,客赢盘,-1.0,5.0,0,0,win,FULL_WIN,"盘口-0.25, 净胜-1.0, eff=-1.25",109.0,108.99999999999999,-1.4210854715202004e-14
7e15104555f5,西甲,2023-09-23 22:15:00,奥萨苏纳,塞维利亚,over_under,,2.25,0.92,1.92,小球,0.0,0.0,0,0,win,FULL_WIN,"线2.25, 总球0.0",92.0,92.0,0.0
20d5d7e1e558,西甲,2022-11-06 23:15:00,皇家社会,瓦伦西亚,over_under,,2.25,0.99,1.99,小球,0.0,2.0,0,0,win,HALF_WIN,"线2.25, 总球2.0",99.0,49.5,-49.5
ea3f68f9fd11,西甲,2023-01-20 02:00:00,维戈塞尔塔,奥萨苏纳,over_under,,2.25,0.95,1.95,小球,2.0,2.0,0,0,win,HALF_WIN,"线2.25, 总球2.0",95.0,47.5,-47.5
9383d9dac194,英超,2022-10-15 19:30:00,莱斯特城,水晶宫,over_under,,2.5,0.86,1.86,大球,0.0,0.0,1,0,lose,FULL_LOSE,"线2.5, 总球0.0",-100.0,-100.0,0.0
