stake,return,profit,capital_after,result,match_id,kickoff_time,odds,edge,y_true,y_pred,task
100.0,91.0,91.0,10091.0,win,d1c8c369bec6,2022-10-01 02:30:00,1.9100000000000001,0.08206930474231122,1,1,over_under
100.0,-100.0,-100.0,9991.0,lose,0aafcbff23dd,2022-10-01 03:00:00,1.97,0.013326780419600559,1,0,over_under
100.0,99.0,99.0,10090.0,win,d7876a6b3736,2022-10-01 03:00:00,1.99,0.06648114605953814,1,1,over_under
100.0,-100.0,-100.0,9990.0,lose,a36dbdc0df22,2022-10-01 19:30:00,1.9100000000000001,0.3300723703284013,1,0,over_under
100.0,-100.0,-100.0,9890.0,lose,6df862dc6403,2022-10-01 20:00:00,1.98,0.2866590863779972,0,1,over_under
100.0,85.0,85.0,9975.0,win,cf9cf168e03b,2022-10-01 21:00:00,1.85,0.223193861936268,1,1,over_under
100.0,-100.0,-100.0,9875.0,lose,e652f676c4b9,2022-10-01 21:30:00,1.88,0.05433458340795405,1,0,over_under
100.0,103.0,103.0,9978.0,win,e2bb5c4ca995,2022-10-01 21:30:00,2.0300000000000002,0.33536166517358074,0,0,over_under
100.0,95.0,95.0,10073.0,win,a98252a68577,2022-10-01 21:30:00,1.95,0.07203203439712524,1,1,over_under
100.0,-100.0,-100.0,9973.0,lose,8141115336d4,2022-10-01 21:30:00,1.94,0.13602047343003132,1,0,over_under
100.0,-100.0,-100.0,9873.0,lose,0d987835f57c,2022-10-01 21:30:00,1.96,0.12384373765242729,1,0,over_under
100.0,85.0,85.0,9958.0,win,3ff7e3b5e184,2022-10-01 22:00:00,1.85,-0.042423031832042546,0,0,over_under
100.0,101.0,101.0,10059.0,win,d15e8d7d8576,2022-10-01 22:00:00,2.01,0.18077825433329536,1,1,over_under
100.0,98.0,98.0,10157.0,win,d7e315f97823,2022-10-01 22:00:00,1.98,0.04793890777387122,1,1,over_under
100.0,102.0,102.0,10259.0,win,d2ffd6751382,2022-10-01 22:00:00,2.02,0.1358818386730395,1,1,over_under
100.0,-100.0,-100.0,10159.0,lose,9e033d6139f7,2022-10-01 22:00:00,1.9300000000000002,0.09705494203065568,1,0,over_under
100.0,-100.0,-100.0,10059.0,lose,49ec2a875d79,2022-10-01 22:15:00,2.01,0.09047238952235176,1,0,over_under
100.0,-100.0,-100.0,9959.0,lose,3e7bb40cd972,2022-10-01 23:00:00,2.02,0.1493052219089709,1,0,over_under
100.0,90.0,90.0,10049.0,win,9b0029302812,2022-10-02 00:00:00,1.9,0.2435194442146703,1,1,over_under
100.0,-100.0,-100.0,9949.0,lose,3a1822d2c3d6,2022-10-02 00:30:00,2.0700000000000003,0.15621016276510136,0,1,over_under
100.0,80.0,80.0,10029.0,win,72786a499087,2022-10-02 00:30:00,1.8,0.2910107938866866,1,1,over_under
100.0,108.0,108.0,10137.0,win,ad532e535c3a,2022-10-02 00:30:00,2.08,0.12618170851155336,0,0,over_under
100.0,82.0,82.0,10219.0,win,aba227e96a55,2022-10-02 02:45:00,1.8199999999999998,0.15413559800700138,1,1,over_under
