match_id,league,home_team,away_team,score,asian_handicap_db,high_water_db,low_water_db,odds_home_db,odds_draw_db,odds_away_db,ou_handicap_db,over_water_db,under_water_db
4a715caa176e,德甲,拜仁慕尼黑,弗赖堡,3-0,两球/两球半,1.07,0.83,1.17,7.5,15.0,3.5/4,0.96,0.94
4d822e590a57,英超,莱斯特城,利物浦,0-3,受一球,0.84,1.06,5.0,4.33,1.62,3/3.5,1.05,0.85
6b987977684c,西甲,马德里竞技,维戈塞尔塔,4-1,一球,1.06,0.84,1.85,3.4,4.5,2/2.5,0.91,0.99
784f27dfa1f7,德甲,弗赖堡,波鸿,2-1,半球/一球,0.95,0.95,1.55,4.2,5.75,2.5/3,0.85,1.05
98c07337f23e,西甲,巴塞罗那,皇家社会,4-2,一球/球半,1.0,0.9,1.65,3.8,5.0,3,0.88,1.02
9a8defa716a5,法甲,斯特拉斯堡,南特,3-1,半球,1.04,0.86,1.95,3.5,3.9,2.5,1.02,0.88
fa87bedf23cb,德甲,波鸿,拜仁慕尼黑,4-2,受两球,1.19,0.74,11.0,7.5,1.22,3.5/4,0.83,1.07
97fb3b4b5904,意甲,帕尔马,莱切,1-3,平手/半球,0.82,1.08,2.4,3.2,3.1,2.5,1.05,0.85
e5e10d7460f6,西甲,巴列卡诺,皇家社会,0-2,平手,1.01,0.89,2.9,3.1,2.6,2,0.81,1.09
19315f5fb882,法甲,特鲁瓦,蒙彼利埃,1-1,平手,0.8,1.1,2.38,3.6,2.88,2.5,0.88,0.98
cabdc91e8f63,西甲,皇家社会,赫罗纳,3-2,平手/半球,1.03,0.83,1.73,3.6,5.0,2.5,1.0,0.8
bb38c56bfd47,法甲,南特,朗斯,0-0,受平手/半球,0.84,1.06,3.5,3.75,2.0,2.5,0.86,1.04
ac8bfb18651c,意甲,卡利亚里,博洛尼亚,2-1,受平手/半球,0.9,1.0,3.0,3.3,2.4,2.5/3,1.09,0.81
e729880591cc,英超,托特纳姆热刺,南安普顿,4-1,一球/球半,0.89,1.01,1.36,5.0,8.5,2.5/3,0.83,1.07
acf2e6de02a4,意甲,蒙扎,亚特兰大,0-4,受球半,1.05,0.85,12.0,6.0,1.25,3,0.92,0.98
d982d64fe71d,西甲,西班牙人,毕尔巴鄂竞技,1-2,受平手/半球,1.03,0.87,4.0,3.2,2.05,2/2.5,1.09,0.81
08c8c75657e9,英超,布伦特福德,AFC伯恩茅斯,2-2,半球/一球,0.84,1.06,1.73,4.0,4.75,2.5/3,0.98,0.92
7319cac428d4,德甲,斯图加特,圣保利,0-1,一球/球半,0.99,0.91,1.48,4.75,6.0,2.5/3,0.93,0.97
06e93478798b,西甲,比利亚雷亚尔,埃尔切,4-0,一球/球半,0.92,0.98,1.4,4.75,8.0,2.5,0.91,0.99
